.metric,.estimator,.estimate,umi_cutoff,group
recall,binary,0.6372102649006622,134,CD4-22h-2e11
precision,binary,0.9896873992910087,135,CD4-22h-2e11
recall,binary,0.6355546357615894,135,CD4-22h-2e11
precision,binary,0.9896607431340873,136,CD4-22h-2e11
recall,binary,0.6338990066225165,136,CD4-22h-2e11
precision,binary,0.9896473633128438,137,CD4-22h-2e11
recall,binary,0.6330711920529801,137,CD4-22h-2e11
precision,binary,0.9896339488176222,138,CD4-22h-2e11
recall,binary,0.6322433774834437,138,CD4-22h-2e11
precision,binary,0.9896103896103896,139,CD4-22h-2e11
recall,binary,0.6307947019867549,139,CD4-22h-2e11
precision,binary,0.9899154196486663,140,CD4-22h-2e11
recall,binary,0.6297599337748344,140,CD4-22h-2e11
precision,binary,0.989892402999674,141,CD4-22h-2e11
recall,binary,0.6283112582781457,141,CD4-22h-2e11
precision,binary,0.9898758981058132,142,CD4-22h-2e11
recall,binary,0.6272764900662252,142,CD4-22h-2e11
precision,binary,0.9898527004909984,143,CD4-22h-2e11
recall,binary,0.6258278145695364,143,CD4-22h-2e11
precision,binary,0.9898460530625615,144,CD4-22h-2e11
recall,binary,0.6254139072847682,144,CD4-22h-2e11
precision,binary,0.9898293963254593,145,CD4-22h-2e11
recall,binary,0.6243791390728477,145,CD4-22h-2e11
precision,binary,0.9898093359631821,146,CD4-22h-2e11
recall,binary,0.6231374172185431,146,CD4-22h-2e11
precision,binary,0.9897925584458347,147,CD4-22h-2e11
recall,binary,0.6221026490066225,147,CD4-22h-2e11
precision,binary,0.990108803165183,148,CD4-22h-2e11
recall,binary,0.6214817880794702,148,CD4-22h-2e11
precision,binary,0.9900793650793651,149,CD4-22h-2e11
recall,binary,0.6196192052980133,149,CD4-22h-2e11
precision,binary,0.9900629347466048,150,CD4-22h-2e11
recall,binary,0.6185844370860927,150,CD4-22h-2e11
precision,binary,0.9900497512437811,151,CD4-22h-2e11
recall,binary,0.6177566225165563,151,CD4-22h-2e11
precision,binary,0.9900398406374502,152,CD4-22h-2e11
recall,binary,0.617135761589404,152,CD4-22h-2e11
precision,binary,0.9900166389351082,153,CD4-22h-2e11
recall,binary,0.6156870860927153,153,CD4-22h-2e11
precision,binary,0.9899966655551851,154,CD4-22h-2e11
recall,binary,0.6144453642384106,154,CD4-22h-2e11
precision,binary,0.9899766120948881,155,CD4-22h-2e11
recall,binary,0.613203642384106,155,CD4-22h-2e11
precision,binary,0.989946380697051,156,CD4-22h-2e11
recall,binary,0.6113410596026491,156,CD4-22h-2e11
precision,binary,0.9899295065458208,157,CD4-22h-2e11
recall,binary,0.6103062913907285,157,CD4-22h-2e11
precision,binary,0.9899057873485868,158,CD4-22h-2e11
recall,binary,0.6088576158940397,158,CD4-22h-2e11
precision,binary,0.9898887765419616,159,CD4-22h-2e11
recall,binary,0.6078228476821192,159,CD4-22h-2e11
precision,binary,0.9898717083051992,160,CD4-22h-2e11
recall,binary,0.6067880794701986,160,CD4-22h-2e11
precision,binary,0.9901927629354075,161,CD4-22h-2e11
recall,binary,0.6059602649006622,161,CD4-22h-2e11
precision,binary,0.9905052560189895,162,CD4-22h-2e11
recall,binary,0.6045115894039735,162,CD4-22h-2e11
precision,binary,0.990482664853841,163,CD4-22h-2e11
recall,binary,0.6030629139072847,163,CD4-22h-2e11
precision,binary,0.9904729499829874,164,CD4-22h-2e11
recall,binary,0.6024420529801324,164,CD4-22h-2e11
precision,binary,0.9904599659284498,165,CD4-22h-2e11
recall,binary,0.601614238410596,165,CD4-22h-2e11
precision,binary,0.99078183680437,166,CD4-22h-2e11
recall,binary,0.6005794701986755,166,CD4-22h-2e11
precision,binary,0.9907755380936112,167,CD4-22h-2e11
recall,binary,0.6001655629139073,167,CD4-22h-2e11
precision,binary,0.9914412872304006,168,CD4-22h-2e11
recall,binary,0.5993377483443708,168,CD4-22h-2e11
precision,binary,0.9914236706689536,169,CD4-22h-2e11
recall,binary,0.5980960264900662,169,CD4-22h-2e11
precision,binary,0.9914089347079038,170,CD4-22h-2e11
recall,binary,0.5970612582781457,170,CD4-22h-2e11
precision,binary,0.9913793103448276,171,CD4-22h-2e11
recall,binary,0.5949917218543046,171,CD4-22h-2e11
precision,binary,0.9913554633471646,172,CD4-22h-2e11
recall,binary,0.5933360927152318,172,CD4-22h-2e11
precision,binary,0.9913284772806105,173,CD4-22h-2e11
recall,binary,0.5914735099337748,173,CD4-22h-2e11
precision,binary,0.9916579770594369,174,CD4-22h-2e11
recall,binary,0.5904387417218543,174,CD4-22h-2e11
precision,binary,0.9916376306620209,175,CD4-22h-2e11
recall,binary,0.5889900662251656,175,CD4-22h-2e11
precision,binary,0.9916201117318436,176,CD4-22h-2e11
