.metric,.estimator,.estimate,umi_cutoff,group
recall,binary,0.48741721854304637,107,500
sensitivity,binary,0.48741721854304637,107,500
specificity,binary,0.9921259842519685,107,500
precision,binary,0.9605263157894737,108,500
recall,binary,0.48344370860927155,108,500
sensitivity,binary,0.48344370860927155,108,500
specificity,binary,0.9921259842519685,108,500
precision,binary,0.9602122015915119,109,500
recall,binary,0.4794701986754967,109,500
sensitivity,binary,0.4794701986754967,109,500
specificity,binary,0.9921259842519685,109,500
precision,binary,0.9602122015915119,110,500
recall,binary,0.4794701986754967,110,500
sensitivity,binary,0.4794701986754967,110,500
specificity,binary,0.9921259842519685,110,500
precision,binary,0.9598930481283422,111,500
recall,binary,0.47549668874172185,111,500
sensitivity,binary,0.47549668874172185,111,500
specificity,binary,0.9921259842519685,111,500
precision,binary,0.9597855227882037,112,500
recall,binary,0.4741721854304636,112,500
sensitivity,binary,0.4741721854304636,112,500
specificity,binary,0.9921259842519685,112,500
precision,binary,0.9617486338797814,113,500
recall,binary,0.46622516556291393,113,500
sensitivity,binary,0.46622516556291393,113,500
specificity,binary,0.9926509186351706,113,500
precision,binary,0.9615384615384616,114,500
recall,binary,0.46357615894039733,114,500
sensitivity,binary,0.46357615894039733,114,500
specificity,binary,0.9926509186351706,114,500
precision,binary,0.9613259668508287,115,500
recall,binary,0.4609271523178808,115,500
sensitivity,binary,0.4609271523178808,115,500
specificity,binary,0.9926509186351706,115,500
precision,binary,0.9610027855153204,116,500
recall,binary,0.45695364238410596,116,500
sensitivity,binary,0.45695364238410596,116,500
specificity,binary,0.9926509186351706,116,500
precision,binary,0.9628571428571429,117,500
recall,binary,0.4463576158940397,117,500
sensitivity,binary,0.4463576158940397,117,500
specificity,binary,0.9931758530183727,117,500
precision,binary,0.9626436781609196,118,500
recall,binary,0.44370860927152317,118,500
sensitivity,binary,0.44370860927152317,118,500
specificity,binary,0.9931758530183727,118,500
precision,binary,0.9624277456647399,119,500
recall,binary,0.4410596026490066,119,500
sensitivity,binary,0.4410596026490066,119,500
specificity,binary,0.9931758530183727,119,500
precision,binary,0.9624277456647399,120,500
recall,binary,0.4410596026490066,120,500
sensitivity,binary,0.4410596026490066,120,500
specificity,binary,0.9931758530183727,120,500
precision,binary,0.9622093023255814,121,500
recall,binary,0.4384105960264901,121,500
sensitivity,binary,0.4384105960264901,121,500
specificity,binary,0.9931758530183727,121,500
precision,binary,0.9616519174041298,122,500
recall,binary,0.43178807947019865,122,500
sensitivity,binary,0.43178807947019865,122,500
specificity,binary,0.9931758530183727,122,500
precision,binary,0.9616519174041298,123,500
recall,binary,0.43178807947019865,123,500
sensitivity,binary,0.43178807947019865,123,500
specificity,binary,0.9931758530183727,123,500
precision,binary,0.9616519174041298,124,500
recall,binary,0.43178807947019865,124,500
sensitivity,binary,0.43178807947019865,124,500
specificity,binary,0.9931758530183727,124,500
precision,binary,0.9642857142857143,125,500
recall,binary,0.4291390728476821,125,500
sensitivity,binary,0.4291390728476821,125,500
specificity,binary,0.9937007874015747,125,500
precision,binary,0.9641791044776119,126,500
recall,binary,0.42781456953642383,126,500
sensitivity,binary,0.42781456953642383,126,500
specificity,binary,0.9937007874015747,126,500
precision,binary,0.9640718562874252,127,500
recall,binary,0.42649006622516555,127,500
sensitivity,binary,0.42649006622516555,127,500
specificity,binary,0.9937007874015747,127,500
precision,binary,0.9666666666666667,128,500
recall,binary,0.42251655629139073,128,500
sensitivity,binary,0.42251655629139073,128,500
