conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-6e10,Clic1,5.29387569980894e-6,0.14492465804176846,0.945,0.924,0.07300783977606509
6h-6e10,Rpl32,5.304773866127698e-6,0.06355610349097773,1,1,0.07315813638776708
6h-6e10,Noc2l,5.3297241081755855e-6,-0.25249139738338616,0.541,0.604,0.0735022251758495
6h-6e10,Eif2s2,5.351545512413405e-6,-0.1769186601355388,0.794,0.829,0.07380316416169326
6h-6e10,Gbp2,5.381904997277565e-6,0.33219786255625705,0.298,0.23,0.0742218518174549
6h-6e10,Atp11a,5.457619385208759e-6,-0.4198483220534539,0.206,0.273,0.075266028941414
6h-6e10,Mob3a,5.5743709467079084e-6,0.3518729887113633,0.389,0.319,0.07687614972604877
6h-6e10,Ccdc166,5.63046528486717e-6,-0.89762157668026,0.041,0.079,0.07764974674360314
6h-6e10,Dusp2,5.81267606171118e-6,-0.270673139933291,0.646,0.695,0.08016261556705888
6h-6e10,Usp14,5.9371846784404345e-6,-0.24690882478184967,0.533,0.601,0.08187971390037203
6h-6e10,Tma16,6.023654085575814e-6,-0.3747807878669016,0.278,0.346,0.08307221349417604
6h-6e10,Pou2af1,6.257251421858416e-6,-0.5853221829906747,0.135,0.192,0.08629375435884942
6h-6e10,Pecam1,6.411776668105255e-6,0.3983424993714033,0.386,0.319,0.08842481202983957
6h-6e10,Tle5,6.4349793173336484e-6,0.22877263517647672,0.663,0.596,0.08874479976534834
6h-6e10,Fyb,6.495052905208035e-6,0.2677117009985509,0.625,0.576,0.08957327461572401
6h-6e10,Riok2,6.638574828924582e-6,-0.3814117672133952,0.298,0.366,0.09155258546569892
6h-6e10,Rapgef6,6.660806842172865e-6,0.19786863521649156,0.823,0.807,0.09185918716040598
6h-6e10,Tspan3,6.8283742844443925e-6,-0.2934172795986236,0.346,0.42,0.09417010975677262
6h-6e10,Ptprc,7.003397752921059e-6,-0.1030627500578829,0.999,0.999,0.09658385841053432
6h-6e10,Psmb9,7.055736567450203e-6,0.2529205596365096,0.615,0.55,0.09730566300170576
6h-2e10,Eea1,2.2172921422861276e-27,-0.754827863561337,0.616,0.764,3.057867593426799e-23
6h-2e10,Cd82,7.992838202121715e-27,-0.8742109174607067,0.45,0.644,1.1022923164546057e-22
6h-2e10,Nolc1,4.019517542831778e-26,-0.5572817514283429,0.748,0.864,5.543316643319305e-22
6h-2e10,Aff3,5.34806151658819e-26,0.59018753561996,0.857,0.706,7.375511637526774e-22
6h-2e10,Ncl,8.118055778729855e-24,-0.3109506184197004,0.997,0.999,1.1195610724446343e-19
6h-2e10,Tnfrsf4,9.323636613353955e-24,-0.5166161580886408,0.958,0.962,1.285822725347644e-19
6h-2e10,Lad1,1.891353698345301e-22,-0.9478297109020959,0.283,0.481,2.6083658853880045e-18
6h-2e10,Il2,3.5828399117633965e-22,-2.1519201262026195,0.179,0.359,4.9410945223129e-18
6h-2e10,Eef1e1,7.493162707121278e-22,-0.6457327261500008,0.523,0.699,1.0333820689390955e-17
6h-2e10,Vim,1.5721750350918674e-21,0.500596877426615,0.911,0.837,2.1681865908951945e-17
6h-2e10,Hnrnpab,1.606115862092105e-20,-0.3260796901391272,0.98,0.993,2.214994385411222e-16
6h-2e10,Hspa5,5.561053572510415e-20,-0.3415164157499684,0.877,0.942,7.669248981849113e-16
6h-2e10,Gramd1b,7.756401160490024e-20,-0.5737256199108889,0.722,0.838,1.0696852840431793e-15
6h-2e10,Gpr183,2.8746434436278525e-19,-0.7388326507229762,0.363,0.549,3.964420773107171e-15
6h-2e10,Srm,5.688587817183969e-19,-0.5298822665743581,0.638,0.77,7.845131458678412e-15
6h-2e10,Hspd1,1.0532303239066834e-18,-0.3152924132311523,0.971,0.987,1.452509939699707e-14
